,crossing
15679,605 N / B
23996,18300 / CRUSADER
12434,1100 0HIO
18477,10TH / GRAND AVE
18474,10TH / REDONDO
1013,300 BLOCK W 10TH ST
15347,600 BLOCK W 10TH ST
3566,"900 BLOCK E 10TH ST, LONG BEACH CA"
15004,"1400 BLOCK E 10TH ST, LONG BEACH CA"
782,"2900 BLOCK E 10TH ST, LONG BEACH CA"
12730,"1100 BLOCK E 10TH ST, LONG BEACH CA"
8765,"1500 BLOCK E 10TH ST, LONG BEACH, CA"
4952,"4500 BLOCK E 10TH ST, LONG BEACH, CA"
14728,1400 BLOCK E 11TH ST
23626,700 BLOCK E 11TH ST
12490,1100 BLOCK E 11TH ST
12209,4000 BLOCK E 11TH ST
15388,"2300 BLOCK E 11TH ST, LONG BEACH CA"
23763,"700 BLOCK W 11TH ST, LONG BEACH CA"
13570,1200TH BLOCK DAISY AVE
14236,"1300 BLOCK W 12TH ST, LONG BEACH CA"
20587,"1300 W 12TH ST, LONG BEACH CA"
20862,13500TH BLOCK SEAL BEACH BLVD
14650,"13P00 BLOCK E 17TH ST, LONG BEACH CA"
1698,3500 14TH ST
29731,2000 BLOCK W 14TH ST
15892,2500 BLOCK E 14TH ST
5361,"500 BLOCK E 14TH ST, LONG BEACH CA"
2128,"3900 BLOCK E 14TH ST, LONG BEACH CA"
15894,"2500 BLOCK E 14TH ST, LONG BEACH, CA"
628,"2800 BLOCK E 14TH ST, LONG BEACH, CA"
462,2600 E 15TH
16484,2800 BLOCK E 15TH ST
7055,"1000 BLOCK 15TH ST, LONG BEACH CA"
10399,"200 BLOCK W 15TH ST, LONG BEACH CA"
17284,"100 BLOCK E 15TH ST, LONG BEACH CA"
2685,"700 BLOCK E 15TH ST, LONG BEACH CA"
18201,10000 BLOCK 166TH ST
20693,13000 E 166TH ST
14486,"13200 BLOCK E 166TH ST, CERRITOS CA"
14376,"13000 BLOCK E 166TH ST, CERRITOS CA"
724,2900 BLOCK 16TH ST
783,"2900 BLOCK E 16TH ST, LONG BEACH CA"
1038,"300 BLOCK E 16TH ST, LONG BEACH CA"
27237,"1600 BLOCK W 16TH ST, LONG BEACH CA"
27764,1700TH BLOCK EAST SPRING ST
27727,2300 E 17TH
23386,17TH / ATLANTIC
11241,2300 BLOCK 17TH ST
18885,1100 E 17TH ST
5247,500 BLOCK E 17TH ST
15407,"600 BLOCK W 17TH ST, LONG BEACH CA"
20114,"1300 BLOCK E 17TH ST, LONG BEACH CA"
15392,"2300 BLOCK E 17TH ST, LONG BEACH, CA"
7447,"10800 BLOCK 183RD ST, CERRITOS CA"
19244,"11900 BLOCK 186TH ST, ARTESIA"
24636,190TH BLOCK VOLK ST
19922,"12500 BLOCK 195TH ST, CERRITOS CA"
15353,"600 BLOCK W 19TH ST, LONG BEACH CA"
17502,1000 BLOCK E 1ST
16589,1 BLOCK E 1ST PL
1480,3300 BLOCK E 1ST ST
20869,500 E 1ST ST
22325,600 E 1ST ST
29930,"2100 BLOCK 1ST ST, LONG BEACH, CA"
2036,"3800 BLOCK E 1ST ST, LONG BEACH, CA"
1392,"3200 BLOCK E 1ST ST, LONG BEACH, CA"
12500,"1100 BLOCK E 1ST ST, LONG BEACH, CA"
10748,200TH BLOCK W 60TH WAY
6943,100 BLOCK W 20TH BST
12021,400 BLOCK W 20TH ST
14226,"1300 BLOCK E 20TH ST, LONG BEACH"
8304,"1300 BLOCK E 20TH ST, LONG BEACH CA"
8680,"1400 BLOCK E 20TH ST, LONG BEACH CA"
7293,"1000 BLOCK E 20TH ST, LONG BEACH CA"
6493,"624 E 20TH ST, LONG BEACH CA"
20865,"500 BLOCK E 20TH ST, LONG BEACH CA"
8020,"12200 BLOCK 216TH ST, HAWAIIAN GARDENS"
7098,1000 BLOCK E 21ST ST
12068,1000 E 21ST ST
7100,"1000 BLOCK E 21ST ST, LONG BEACH, CA"
32024,"7000 BLOCK 229TH ST, EAST BRADENTON"
15628,23O BLOCK BELMONT AVE
