,animal_id,animal_name
4,A738972,KITTEN 2
5,A738974,KITTEN 4
15,A741678,KITTEN 3
30,A694820,*KITTEN 4
31,A694818,*KITTEN 2
147,A673333,*KITTEN 2
149,A717194,KITTEN 2
216,A724566,BABY 3
267,A638168,638168 *SANCHITA
284,A673060,*ALLEY 1
310,A722591,BABY 1
311,A722597,BABY 7
365,A621528,ROCKY 4
542,A740675,KITTEN 2
651,A694798,*SALINAS KITTEN 4
652,A694796,*SALINAS KITTEN 2
684,A701706,KITTEN 5
724,A701862,*E CAT 1
725,A701864,*E CAT 2
837,A739252,PIGEON 1
838,A739253,PIGEON 2
965,A723734,BABY 3
976,A741632,KITTEN 4
977,A741630,KITTEN 2
1038,A704883,KEITH1
1055,A628126,*628126 SWEETHEART
1152,A702217,*KIT2
1162,A605815,BABY 1
1163,A605817,BABY 3
1164,A605818,BABY 4
1238,A702461,STRAY 2
1245,A639460,MARSHAL MATHERS 4TH
1276,A739001,KITTEN 4
1277,A738998,KITTEN 1
1321,A612942,ROOSTER 2
1340,A740960,BIRD 3
1341,A740959,BIRD 2
1344,A673071,*POSSE 1
1345,A673074,*POSSE 4
1346,A673073,*POSSE 3
1378,A721615,1
1509,A639999,*639999 GERTRUDE
1549,A674036,99
1566,A595104,TURTLE 2
1602,A740847,KITTEN 4
1709,A696416,POSSUM 3
1745,A695256,*MOUSE 3
1798,A651998,341
1838,A661992,RING ST 2
1867,A739566,KITTEN 1
1928,A743125,FASHION 2
2093,A699598,*MC4
2224,A740529,5900 ELM 5
2299,A742600,OLIVE 6
2301,A742599,OLIVE 5
2339,A691677,*THING 2
2345,A672595,BIRD 1
2364,A697417,BIRD1
2452,A715569,6
2551,A697869,STRAY 1
2598,A698896,STRAY 1
2668,A733600,PUPPY1 PURPLE
2803,A676467,KITTEN 1
2878,A681629,*PARK 2
2968,A696646,*BOBA BABY 7
2969,A696645,*BOBA BABY 6
3002,A668599,KITTEN 4
3011,A682294,*PUP 4
3013,A682292,*PUP 2
3014,A682291,*PUP 1
3030,A698050,*LIME 3
3032,A698049,*LIME 2
3033,A695431,*MOMMA FRANCES 1
3145,A672369,*KITTEN 2
3156,A629531,WENT TO YAPS 2
3178,A663830,*50 CENT
3221,A701919,KITTEN 1
3222,A701921,KITTEN 3
3287,A727476,SARAI 2
3288,A717145,DOA KITTEN 1
3290,A727486,KERI 2
3388,A695591,DUCK 3
3390,A695595,DUCK 7
3399,A716219,P2
3400,A716223,P6
3401,A716221,P4
3402,A716224,P7
3403,A716220,P3
3551,A743553,2
4030,A698216,STRAY 2
4031,A698215,STRAY 1
