animal_id,animal_name
A594350,HEAVY CREAM
A347815,DUKE
A707449,TABITHA
A712850,KIWI
A738972,
A738974,
A738970,
A642285,
A615012,
A642284,BUSTER
A582551,YOGI
A675352,DAISY
A504118,TEENSY
A728800,
A592948,JUJUBEE
A741678,
A719723,
A719720,
A719722,
A719721,
A743096,MILA
A741711,SEPHORA
A664272,INARA
A664273,RIVER
A652212,
A633319,
A676165,MALLORY
A657955,CHAI
A720916,MAX
A694821,YUKI
A694820,
A694818,
A672524,UNKNOWN
A693132,BETTY BOOP
A642516,CHONK
A611426,
A675464,PENELOPE
A740106,
A629572,
A629577,
A629583,
A698514,SQUIRT
A723786,
A718377,BRENDAN
A645628,
A697068,CRUTON
A596499,
A590099,
A590101,
A590103,
A718001,JUGETON
A682852,BERRY
A682856,GREY GOOSE
A683693,BACARDI
A710570,CINNAMON
A664806,EYEBALL MCKENZIE
A687523,FERGIE
A665445,
A703956,KYLIE
A739292,PANCAKE
A689560,
A689491,LATKE
A283453,CISCO
A367773,SIERRA
A528457,MACE
A721305,
A655767,
A680076,OLIVER
A673106,MARLEY
A601644,ROMEO
A723808,CRUNCHY
A723811,MUNCHY
A649114,ONYX
A646523,
A721562,
A593508,TOBY
A717031,
A717032,
A591526,
A709812,
A605112,
A605114,
A697471,THEA
A726806,SOLILOQUY
A718621,CRISTIANO
A718619,PELE
A718628,TRINITY
A722359,ADI
A738413,EGGO
A710072,TIRAMISU CAKE
A710070,MARBLE CAKE
A726805,RAMSEY
A734707,BINGO
A627911,CHLEO
A612769,PRETTY
A728692,
A586489,GIZMO
A595873,
A676764,DIAMOND
A599415,
A587172,LUCY
A614178,CECE
A731052,GINGER
A744211,
A587590,
A649289,UNO
A283806,KATIE PERRY
A612349,JUNIOR
A626208,
A655669,
A616692,ERNIE
A648908,
A648911,
A426839,BUDDY
A426841,MOLLY
A611408,
A664227,KIARA/BELLA
A436998,SADI
A619565,
A679304,
A611459,CUPCAKE
A593764,PIGEON
A612886,
A720580,BLACKY
A584718,
A596517,
A596304,
A558013,GREY
A674499,
A691633,BOY
A726799,POPPY
A671169,
A671170,
A681648,TOM
A709534,
A739631,TIGRESA
A726788,BOB
A625083,
A601338,P. NUT
A603171,WAYNE
A654779,
A698271,RANDOLF
A634248,BILLY
A688490,
A624321,NELLY
A598897,
A636100,TERRA
A673333,
A738076,
A717194,
A594576,CARAMEL
A617308,
A683703,GIDGET
A654581,
A662556,
A688286,TACITO
A699674,
A672304,
A732422,
A732424,
A642900,PARMESAN
A686062,
A587308,TOOTHLESS
A606288,
A666749,
A641771,
A594696,
A724081,SYLVESTER
A663127,QUEEN
A663125,KING
A699631,SPARROW
A727438,MAGELLAN
A723017,
A663658,LUIS
A663663,
A663664,
A663653,DONA MARIA
A663668,
A663666,
A681576,OPAL
A663665,
A663669,
A717480,
A687429,LESLIE
A712037,
A589478,MAGGIE
A745325,
A667836,
A677997,KEANU
A667315,STARDI
A682466,
A665865,
A682465,
A647047,
A712466,CORAL
A650232,
A738846,YON
A738280,
A640677,MARIBELL
A710074,JACK
A463979,ROCKY
A625570,
A650138,PRECIOUS
A681402,
A738817,URSULA
