crossing,count
"7700 E SPRING ST, LONG BEACH, CA 90815",327
"7700 BLOCK E SPRING ST, LONG BEACH, CA 90815",116
"6400 BLOCK ATLANTIC AVE, LONG BEACH, CA 90805",69
"7500 BLOCK E SPRING ST, LONG BEACH, CA 90815",69
"7550 E SPRING ST, LONG BEACH, CA 90815",59
"5400 BLOCK N PARAMOUNT BLVD, LONG BEACH, CA 90805",54
"4700 BLOCK E PACIFIC COAST HWY, LONG BEACH, CA 90804",48
"5800 BLOCK JOHN AVE, LONG BEACH, CA 90805",42
"4600 BLOCK LONG BEACH BLVD, LONG BEACH, CA 90805",40
"1900 BLOCK CEDAR AVE, LONG BEACH, CA 90806",37
"3300 BLOCK SANTA FE AVE, LONG BEACH, CA 90810",37
"1000 BLOCK E 7TH ST, LONG BEACH, CA 90813",36
"E SPRING ST / N STUDEBAKER RD, LONG BEACH, CA 90815",31
"5500 BLOCK LONG BEACH BLVD, LONG BEACH, CA 90805",29
7700 E SPRING ST,29
"18600 BLOOMFIELD AVE, CERRITOS, CA 90703",28
"100 BLOCK E MARKET ST, LONG BEACH, CA 90805",27
"6200 BLOCK DE FOREST AVE, LONG BEACH, CA 90805",27
"2500 BLOCK WEBSTER AVE, LONG BEACH, CA 90810",26
"2100 BLOCK W WILLARD ST, LONG BEACH, CA 90810",26
"300 BLOCK E NEECE ST, LONG BEACH, CA 90805",25
"6000 BLOCK LINDEN AVE, LONG BEACH, CA 90805",25
"500 BLOCK E PLEASANT ST, LONG BEACH, CA 90805",24
"3000 BLOCK N SPRINGDALE DR, LONG BEACH, CA 90810",24
"1000 BLOCK E 4TH ST, LONG BEACH, CA 90802",24
"1000 BLOCK E 5TH ST, LONG BEACH, CA 90802",24
"100 BLOCK CERRITOS AVE, LONG BEACH, CA 90802",24
"1800 BLOCK LOCUST AVE, LONG BEACH, CA 90806",24
"800 BLOCK E 15TH ST, LONG BEACH, CA 90813",24
7000 BLOCK E SPRING STREET LONG BEACH CA 90815,24
"500 BLOCK E ARTESIA BLVD, LONG BEACH, CA 90805",23
"100 BLOCK ALAMITOS AVE, LONG BEACH, CA 90802",23
"10700 SOUTH ST, CERRITOS, CA 90703",22
"5800 BLOCK CHERRY AVE, LONG BEACH, CA 90805",21
"1600 BLOCK ATLANTIC AVE, LONG BEACH, CA 90813",21
"5500 BLOCK ATLANTIC AVE, LONG BEACH, CA 90805",21
"2400 BLOCK N STUDEBAKER RD, LONG BEACH, CA 90815",20
"1700 BLOCK LONG BEACH BLVD, LONG BEACH, CA 90813",20
"2100 E OCEAN BLVD, LONG BEACH, CA 90803",20
"800 BLOCK DAWSON AVE, LONG BEACH, CA 90804",20
"1300 BLOCK LEWIS AVE, LONG BEACH, CA 90813",20
"1300 BLOCK E WESLEY DR, LONG BEACH, CA 90806",20
"2400 BLOCK LINDEN AVE, LONG BEACH, CA 90806",19
"1000 BLOCK LIME AVE, LONG BEACH, CA 90813",19
"400 BLOCK E ELLIS ST, LONG BEACH, CA 90805",19
"1200 BLOCK OLIVE AVE, LONG BEACH, CA 90813",19
"1400 BLOCK CHESTNUT AVE, LONG BEACH, CA 90813",19
"00 BLOCK W PLEASANT ST, LONG BEACH CA",19
"2000 BLOCK LIME AVE, LONG BEACH, CA 90806",19
"2100 BLOCK E OCEAN BLVD, LONG BEACH, CA 90803",19
"7700 BLOCK E SPRING ST, LONG BEACH CA",18
"200 BLOCK E LOUISE ST, LONG BEACH, CA 90805",18
"3500 BLOCK SANTA FE AVE, LONG BEACH, CA 90810",18
"6600 BLOCK LONG BEACH BLVD, LONG BEACH, CA 90805",18
"5000 BLOCK E OCEAN BLVD, LONG BEACH, CA 90803",18
"19700 BLOOMFIELD AVE, CERRITOS, CA 90703",18
"2000 BLOCK OLIVE AVE, LONG BEACH, CA 90806",18
6400 BLOCK ATLANTIC AVE LONG BEACH CA 90805,18
1900 BLOCK RAYMOND AVE SIGNAL HILL CA 90755,17
"2100 BLOCK PASADENA AVE, LONG BEACH, CA 90806",17
"900 BLOCK MAINE AVE, LONG BEACH, CA 90813",17
2000 BLOCK CHERRY AVE SIGNAL HILL CA 90755,17
"2100 BLOCK E ARTESIA BLVD, LONG BEACH, CA 90805",17
"6500 BLOCK ATLANTIC AVE, LONG BEACH, CA 90805",17
"800 OCEAN AVE, SEAL BEACH, CA 90740",17
"400 OBISPO AVE, LONG BEACH, CA 90814",16
"2000 BLOCK SAN GABRIEL AVE, LONG BEACH, CA 90810",16
"1400 BLOCK ELM AVE, LONG BEACH, CA 90813",16
"600 BLOCK E ARTESIA BLVD, LONG BEACH, CA 90805",16
"1000 BLOCK MYRTLE AVE, LONG BEACH, CA 90813",15
"6500 BLOCK LEMON AVE, LONG BEACH, CA 90805",15
"1000 BLOCK DAWSON AVE, LONG BEACH, CA 90804",15
"7700 E SPRING ST, LONG BEACH CA",15
"4600 LONG BEACH BLVD, LONG BEACH, CA 90805",15
"3700 BLOCK E SOUTH ST, LONG BEACH, CA 90805",15
"6300 BLOCK MYRTLE AVE, LONG BEACH, CA 90805",15
"5800 BLOCK FALCON AVE, LONG BEACH, CA 90805",15
"2800 BLOCK N STUDEBAKER RD, LONG BEACH, CA 90815",15
"500 BLOCK ORANGE AVE, LONG BEACH, CA 90802",15
"2200 BLOCK CLARK AVE, LONG BEACH, CA 90815",15
"1000 BLOCK WALNUT AVE, LONG BEACH, CA 90813",15
"900 BLOCK PINE AVE, LONG BEACH, CA 90813",15
"2500 CHERRY AVE, SIGNAL HILL, CA 90755",15
"800 BLOCK OCEAN AVE, SEAL BEACH, CA 90740",14
"7000 BLOCK E SPRING ST, LONG BEACH, CA 90815",14
"5000 BLOCK N PARAMOUNT BLVD, LONG BEACH, CA 90805",14
"400 BLOCK E HULLETT ST, LONG BEACH, CA 90805",14
"2200 BLOCK ELM AVE, LONG BEACH, CA 90806",14
"2200 BLOCK MYRTLE AVE, LONG BEACH, CA 90806",14
500 BLOCK E ARTESIA BLVD LONG BEACH CA 90805,14
"2000 BLOCK ATLANTIC AVE, LONG BEACH, CA 90806",14
"2000 BLOCK CERRITOS AVE, LONG BEACH, CA 90806",14
"300 BLOCK CEDAR AVE, LONG BEACH, CA 90802",14
"7600 BLOCK E SPRING ST, LONG BEACH, CA 90815",14
"200 BLOCK TEMPLE AVE, LONG BEACH, CA 90803",14
"400 BLOCK E 59TH ST, LONG BEACH, CA 90805",14
"6000 BLOCK ATLANTIC AVE, LONG BEACH, CA 90805",14
"6800 BLOCK BEECHLEY AVE, LONG BEACH, CA 90805",14
"6900 BLOCK LONG BEACH BLVD, LONG BEACH, CA 90805",14
"5400 ATLANTIC AVE, LONG BEACH, CA 90805",14
"700 BLOCK ELM AVE, LONG BEACH, CA 90813",14
"2300 BLOCK CHESTNUT AVE, LONG BEACH, CA 90806",13
"2000 BLOCK W SPRING ST, LONG BEACH, CA 90810",13
"1300 BLOCK LINDEN AVE, LONG BEACH, CA 90813",13
"1300 BLOCK JUNIPERO AVE, LONG BEACH, CA 90804",13
"1700 BLOCK CHESTNUT AVE, LONG BEACH, CA 90813",13
"13600 BLOCK ROSE ST, CERRITOS, CA 90703",13
"3400 BLOCK GOLDEN AVE, LONG BEACH, CA 90806",13
"500 BLOCK NEBRASKA AVE, LONG BEACH, CA 90802",13
"1000 BLOCK PACIFIC AVE, LONG BEACH, CA 90813",13
"2400 N STUDEBAKER RD, LONG BEACH, CA 90815",13
"400 BLOCK E 21ST ST, LONG BEACH, CA 90806",13
"1900 BLOCK CHESTNUT AVE, LONG BEACH, CA 90806",13
"3000 BLOCK SNOWDEN AVE, LONG BEACH, CA 90808",13
"1000 BLOCK ORANGE AVE, LONG BEACH, CA 90813",13
"N PARAMOUNT BLVD / E THOMPSON ST, LONG BEACH, CA 90805",13
"3700 BLOCK PACIFIC AVE, LONG BEACH, CA 90807",13
"400 BLOCK OBISPO AVE, LONG BEACH, CA 90814",13
"100 W 21ST ST, LONG BEACH, CA 90806",13
"100 BLOCK E 28TH ST, LONG BEACH, CA 90806",13
"100 BLOCK E 52ND ST, LONG BEACH, CA 90805",13
6200 BLOCK DE FOREST AVE LONG BEACH CA 90805,13
"1400 ELM AVE, LONG BEACH, CA 90813",13
"E 10TH ST / REDONDO AVE, LONG BEACH, CA 90804",13
"100 BLOCK E 55TH ST, LONG BEACH, CA 90805",13
"3300 BLOCK ADRIATIC AVE, LONG BEACH, CA 90810",12
"20000 RHODA CIR, CERRITOS, CA 90703",12
"500 BLOCK E POPPY ST, LONG BEACH, CA 90805",12
"4700 BLOCK CLAIR DEL AVE, LONG BEACH, CA 90807",12
"1400 BLOCK GUNDRY AVE, LONG BEACH, CA 90813",12
"1400 BLOCK LEMON AVE, LONG BEACH, CA 90813",12
"6900 BLOCK CHERRY AVE, LONG BEACH, CA 90805",12
"1700 BLOCK E JACKSON ST, LONG BEACH, CA 90805",12
"6100 BLOCK MYRTLE AVE, LONG BEACH, CA 90805",12
5900 BLOCK ORANGE AVE LONG BEACH CA 90805,12
"1900 BLOCK LEMON AVE, LONG BEACH, CA 90806",12
"2700 BLOCK PINE AVE, LONG BEACH, CA 90806",12
"200 BLOCK N MARINA DR, LONG BEACH, CA 90803",12
"200 BLOCK E CUMMINGS LN, LONG BEACH, CA 90805",12
"5500 BLOCK ORANGE AVE, LONG BEACH, CA 90805",12
"1800 SAN ANSELINE AVE, LONG BEACH, CA 90815",12
"1700 BLOCK CERRITOS AVE, LONG BEACH, CA 90813",12
"6800 BLOCK WHITE AVE, LONG BEACH, CA 90805",12
"1000 BLOCK E MARKET ST, LONG BEACH, CA 90805",12
"1000 BLOCK ALAMITOS AVE, LONG BEACH, CA 90813",12
"6500 BLOCK E SPRING ST, LONG BEACH, CA 90808",12
"6000 BLOCK LEWIS AVE, LONG BEACH, CA 90805",12
7200 BLOCK CARSON BLVD LONG BEACH CA 90808,12
"1100 BLOCK MOLINO AVE, LONG BEACH, CA 90804",12
"900 BLOCK E BROADWAY, LONG BEACH, CA 90802",12
"CHERRY AVE / 60TH ST, LONG BEACH, CA 90805",12
"2500 BLOCK SEABRIGHT AVE, LONG BEACH, CA 90810",12
2500 BLOCK SANTA FE AVE LONG BEACH CA 90810,12
"900 BLOCK GLADYS AVE, LONG BEACH, CA 90804",12
"1000 CORONADO AVE, LONG BEACH, CA 90804",12
