animal_id,animal_name
A594350,*HEAVY CREAM
A347815,DUKE
A707449,*TABITHA
A712850,*KIWI
A738972,KITTEN 2
A738974,KITTEN 4
A642284,*BUSTER
A582551,YOGI
A675352,DAISY
A504118,TEENSY
A592948,*JUJUBEE
A741678,KITTEN 3
A743096,*MILA
A741711,*SEPHORA
A664272,*INARA
A664273,*RIVER
A676165,*MALLORY
A657955,*CHAI
A720916,MAX
A694821,YUKI
A694820,*KITTEN 4
A694818,*KITTEN 2
A672524,UNKNOWN
A693132,*BETTY BOOP
A642516,*CHONK
A675464,*PENELOPE
A698514,*SQUIRT
A718377,*BRENDAN
A697068,*CRUTON
A718001,JUGETON
A682852,BERRY
A682856,*GREY GOOSE
A683693,*BACARDI
A710570,*CINNAMON
A664806,EYEBALL MCKENZIE
A687523,FERGIE
A703956,*KYLIE
A739292,*PANCAKE
A689491,LATKE
A283453,CISCO
A367773,SIERRA
A528457,MACE
A680076,*OLIVER
A673106,MARLEY
A601644,ROMEO
A723808,*CRUNCHY
A723811,*MUNCHY
A649114,*ONYX
A593508,TOBY
A697471,*THEA
A726806,*SOLILOQUY
A718621,CRISTIANO
A718619,PELE
A718628,TRINITY
A722359,*ADI
A738413,*EGGO
A710072,*TIRAMISU CAKE
A710070,*MARBLE CAKE
A726805,RAMSEY
A734707,*BINGO
A627911,CHLEO
A612769,PRETTY
A586489,GIZMO
A676764,DIAMOND
A587172,LUCY
A614178,CECE
A731052,*GINGER
A649289,UNO
A283806,KATIE PERRY
A612349,JUNIOR
A616692,*ERNIE
A426839,BUDDY
A426841,MOLLY
A664227,KIARA/BELLA
A436998,SADI
A611459,*CUPCAKE
A593764,*PIGEON
A720580,BLACKY
A558013,GREY
A691633,BOY
A726799,*POPPY
A681648,TOM
A739631,*TIGRESA
A726788,BOB
A601338,P. NUT
A603171,*WAYNE
A698271,*RANDOLF
A634248,BILLY
A624321,NELLY
A636100,TERRA
A673333,*KITTEN 2
A717194,KITTEN 2
A594576,*CARAMEL
A683703,*GIDGET
A688286,TACITO
A642900,*PARMESAN
A587308,*TOOTHLESS
A724081,*SYLVESTER
A663127,*QUEEN
A663125,*KING
A699631,*SPARROW
A727438,*MAGELLAN
A663658,LUIS
A663653,DONA MARIA
A681576,*OPAL
A687429,*LESLIE
A589478,*MAGGIE
A677997,*KEANU
A667315,*STARDI
A712466,*CORAL
A738846,*YON
A640677,*MARIBELL
A710074,JACK
A463979,ROCKY
A650138,*PRECIOUS
A738817,URSULA
A738531,BLACK PHOEBE
A699190,PRINCESS
A591047,PEPPE
A742857,OLLIE
A716270,*MINT JULEP
A721877,*BENJI
A677410,CHARLIE
A724566,BABY 3
A707660,*SALLY
A707661,IVY
A707662,*ZERO
A711395,*FAITH
A729121,*NIKOLA
A744596,*ROJITO
A710865,*MOOSE
A710863,*FRUITCAKE
A593844,*SASHA VELOUR
A593844,*SASHA VELOUR
A723920,*HARDY
A655093,RASCAL
A628226,A628226*BRAD
A586323,*GYPSY
A652673,*CALDO D
A700220,*TILT
A694990,*LILLIANA
A560133,BELL
A677455,NOVA
A726160,*LEE
A707801,LOVE
A530451,TOBY (BENJI)
