animal_id,crossing
A723786,2300 BLK HILL ST
A721562,2300 BLK STEARNLEE AVE
A697471,"2300 BLOCK ATLANTIC(ALLEY), LONG BEACH CA"
A726806,"2300 BLOCK DAWSON AVE, SIGNAL HILL CA"
A718621,"2300 BLOCK ELM AVE, LONG BEACH CA"
A718619,"2300 BLOCK ELM AVE, LONG BEACH CA"
A718628,"2300 BLOCK ELM AVE, LONG BEACH CA"
A722359,"2300 BLOCK LIME AVE, LONG BEACH CA"
A738413,"2300 BLOCK MAINE AVE, LONG BEACH CA"
A710072,"2300 BLOCK MLK JR, LONG BEACH CA"
A710070,"2300 BLOCK MLK JR, LONG BEACH CA"
A726805,"2300 BLOCK SEABRIGHT AVE, LONG BEACH CA"
A734707,"2300 BLOCK VUELTA GRANDE AVE, LONG BEACH CA"
A426841,"2300 TEVIS AVE, LONG BEACH, CA 90815, CA"
A726799,"2400 BLK ADRIATIC AVE, LONG BEACH, CA"
A709534,2400 BLK ALBURY AVE
A739631,"2400 BLK ARLINGTON ST, LONG BEACH, CA 908010"
A699674,2400 BLK E 4TH ST
A724081,"2400 BLK LAKEWOOD BLVD, LONG BEACH"
A727438,2400 BLK LINDEN AVE
A712037,2400 BLK MAGNOLIA AVE
A745325,"2400 BLK N STUDEBAKER RD, LB 9815"
A724566,2400 BLK ZANDIA AVE
A707660,"2400 BLOCK ATLANTIC AVE, LONG BEACH CA"
A707661,"2400 BLOCK ATLANTIC AVE, LONG BEACH CA"
A707662,"2400 BLOCK ATLANTIC AVE, LONG BEACH CA"
A711395,"2400 BLOCK BALTIC AVE, LONG BEACH CA"
A729121,"2400 BLOCK CHERRY AVE, SIGNAL HILL CA"
A744596,"2400 BLOCK GAVIOTA AVE, SIGNAL HILL CA"
A710865,"2400 BLOCK LINDEN AVE, LONG BEACH CA"
A710863,"2400 BLOCK LINDEN AVE, LONG BEACH CA"
A700220,2400 STUDEBAKER
A726160,2500 BLK ANAHEIM ST
A707801,2500 BLK ATLANTIC AVE LONG BEACH CA 9806
A699225,"2500 BLK EASY AVE, LONG BEACH CA"
A742654,"2500 BLK SEABRIGHT AVE, LB CA"
A710406,"2500 BLOCK CHERRY AVE, SIGNAL HILL CA"
A703601,"2500 BLOCK CHESTNUT AVE, LONG BEACH CA"
A707901,"2500 BLOCK E 2ND ST, LONG BEACH CA"
A742709,"2500 BLOCK E 4TH ST, LONG BEACH CA"
A709601,"2500 BLOCK E SPAULDING ST, LONG BEACH CA"
A736679,"2500 BLOCK EASY AVE, LONG BEACH CA"
A742427,"2500 BLOCK ELM AVE, LONG BEACH CA"
A738341,"2500 BLOCK LAKEWOOD BLVD, LONG BEACH CA"
A707699,"2500 BLOCK OLIVE AVE, LONG BEACH CA"
A741210,2500 E 7TH ST
A712083,2500 E ANAHEIM ST
A709389,2500 E PCH
A701621,2500 E WILLOW
A744657,"2600 BLK GOLDEN AVE, LB CA"
A664957,2600 BLK LAKEWOOD BLVD
A711667,2600 BLK PACIFIC AVE
A691646,2600 BLK STUDEBAKER RD
A697779,"2600 BLOCK BELLFLOWER BLVD, LONG BEACH CA"
A707813,"2600 BLOCK E ADAMS ST, CARSON, CA"
A694017,"2600 BLOCK NIPOMO AVE, LONG BEACH"
A711482,"2600 BLOCK ORANGE AVE, SIGNAL HILL CA"
A695026,2600 E 15TH
A695027,2600 E 15TH
A695024,2600 E 15TH
A695025,2600 E 15TH
A709976,2600 N STUDEBAKER
A655550,2600 STANBRIDGE AVE
A733075,2700 BLK CASPIAN AVE
A716493,"2700 BLK CORONADO PL, LONG BEACH, CA"
A698891,2700 BLK E 57TH ST
A741607,2700 BLK E SPAULDING ST
A740073,"2700 BLK FOREMAN AVE, LONG BEACH, CA"
A695512,2700 BLK MARBER AVE
A714405,"2700 BLK SAN FRANCISCO AVE, LONG BEACH CA"
A727780,"2700 BLK WALNUT AVE, SIGNAL HILL, CA"
A744604,"2700 BLOCK E 56TH WAY, LONG BEACH CA"
A736794,"2700 BLOCK TULANE AVE, LONG BEACH"
A697239,2700 E OCEAN
A694692,"2700 GOLDEN AVE, LONG BEACH"
A620114,"2800 BLK E 14TH ST, LONG BEACH, CA"
A717983,2800 BLK E 63RD ST
A700269,2800 BLK E OCEAN BLVD
A717180,"2800 BLK MAGNOLIA VAE, LONG BEACH CA"
A720980,"2800 BLK N STUDEBAKER RD, LONG BEACH, CA"
A740107,"2800 BLK N STUDEBAKER RD, LONG BEACH, CA 908015"
A723006,2800 BLK SOUTH ST
A714590,"2800 BLOCK BELLFLOWER BLVD, LONG BEACH CA"
A704231,"2800 BLOCK CLARK AVE, LONG BEACH CA"
A714622,"2800 BLOCK SNOWDEN AVE, LONG BEACH CA"
A720185,2800 STUDEBAKER
A701862,2900 BLK 16TH ST
A701864,2900 BLK 16TH ST
A715279,2900 BLK BELLFLOWER BLVD
A713285,2900 BLK E 63RD ST
A728471,"2900 BLK E COLORADO ST, LONG BEACH"
A728067,"2900 BLK E SPAULDING ST, LONG BEACH, CA"
A703475,2900 BLK LONG BEACH BLVD
A701614,2900 BLK REDONDO AVE
A726794,"2900 BLK STUDEBAKER, LB 908015"
A694025,"2900 BLOCK E 10TH ST, LONG BEACH CA"
A298501,"2900 BLOCK E 16TH ST, LONG BEACH CA"
A720077,"2900 BLOCK E OCEAN BLVD, LONG BEACH CA"
A726872,"2900 BLOCK RADNOR AVE, LONG BEACH CA"
A726873,"2900 BLOCK RADNOR AVE, LONG BEACH CA"
A726875,"2900 BLOCK RADNOR AVE, LONG BEACH CA"
A726876,"2900 BLOCK RADNOR AVE, LONG BEACH CA"
A731780,"2900 BLOCK WEBSTER AVE, LONG BEACH CA"
A728702,2900 SANTA FE AVE LONG BEACH CA
A718733,300 BELLFLOWER
A715521,300 BLK 52ND ST
A710163,"300 BLK ARBOR BLVD, LONG BEACH CA"
A696651,300 BLK E POPPY ST
A708100,"300 BLK LINDERO AVE, LONG BEACH, CA"
A738912,300 BLK NEBRASKA
A717339,300 BLK OF CORONADO AVE
A691342,300 BLK OF MOUNTAIN VIEW
A694380,300 BLK W 10TH ST
A704883,"300 BLOCK E 16TH ST, LONG BEACH CA"
A744844,"300 BLOCK E 56TH ST, LONG BEACH CA"
A706588,"300 BLOCK E 57TH ST, LONG BEACH CA"
A731295,"300 BLOCK E 60TH ST, LONG BEACH CA"
A708173,"300 BLOCK E MARKER LN, LONG BEACH CA"
A727113,300 CARROL PARK W
A708099,300 E 4TH ST
A721698,300 LOIUSE STREET
A700048,300 TREMONT
A639254,3000 BLK COOLIDGE ST
A708160,"3000 BLK E PACIFIC COAST HWY, LONG BEACH CA"
A708161,"3000 BLK E PACIFIC COAST HWY, LONG BEACH CA"
A698474,3000 BLK EL DORADO PARK
A693997,"3000 BLK GALE AVE, LONG BEACH, CA"
A697326,3000 BLK KALLIN AVE
