animal_id,animal_name
A738972,KITTEN 2
A738974,KITTEN 4
A741678,KITTEN 3
A694820,*KITTEN 4
A694818,*KITTEN 2
A673333,*KITTEN 2
A717194,KITTEN 2
A724566,BABY 3
A628226,A628226*BRAD
A638168,638168 *SANCHITA
A673060,*ALLEY 1
A722591,BABY 1
A722597,BABY 7
A621528,ROCKY 4
A635662,A635662
A740675,KITTEN 2
A631401,A631401*BANNER
A694798,*SALINAS KITTEN 4
A694796,*SALINAS KITTEN 2
A701706,KITTEN 5
A701862,*E CAT 1
A701864,*E CAT 2
A652989,A652989*KRISPY KREME
A739252,PIGEON 1
A739253,PIGEON 2
A639045,A639045 *COAL
A723734,BABY 3
A741632,KITTEN 4
A741630,KITTEN 2
A634383,A634383
A704883,KEITH1
A628126,*628126 SWEETHEART
A646147,A646147
A702217,*KIT2
A605815,BABY 1
A605817,BABY 3
A605818,BABY 4
A645747,A645747
A702461,STRAY 2
A639460,MARSHAL MATHERS 4TH
A739001,KITTEN 4
A738998,KITTEN 1
A612942,ROOSTER 2
A740960,BIRD 3
A740959,BIRD 2
A673071,*POSSE 1
A673074,*POSSE 4
A673073,*POSSE 3
A721615,1
A629659,A629659*KATNISS
A650407,A650407
A650407,A650407
A639999,*639999 GERTRUDE
A640146,A640146
A674036,99
A629158,A629158
A595104,TURTLE 2
A629328,A629328*CREAMER
A740847,KITTEN 4
A639268,A639268 *MAXWELL
A649898,A649898
A696416,POSSUM 3
A695256,*MOUSE 3
A651998,341
A661992,RING ST 2
A739566,KITTEN 1
A743125,FASHION 2
A648029,A648029
A699598,*MC4
A740529,5900 ELM 5
A742600,OLIVE 6
A742599,OLIVE 5
A633702,A633702*PEACH
A691677,*THING 2
A672595,BIRD 1
A697417,BIRD1
A631926,A631926*SALLY
A715569,6
A697869,STRAY 1
A698896,STRAY 1
A733600,PUPPY1 PURPLE
A629111,A629111*KAY
A676467,KITTEN 1
A681629,*PARK 2
A696646,*BOBA BABY 7
A696645,*BOBA BABY 6
A668599,KITTEN 4
A682294,*PUP 4
A682292,*PUP 2
A682291,*PUP 1
A698050,*LIME 3
A698049,*LIME 2
A695431,*MOMMA FRANCES 1
A641366,A641366
A672369,*KITTEN 2
A629531,WENT TO YAPS 2
A663830,*50 CENT
A701919,KITTEN 1
A701921,KITTEN 3
A646857,A646857 *RUBARB
A727476,SARAI 2
A717145,DOA KITTEN 1
A727486,KERI 2
A630440,A630440*PAISLEY
A695591,DUCK 3
A695595,DUCK 7
A716219,P2
A716223,P6
A716221,P4
A716224,P7
A716220,P3
A743553,2
A629033,A629033*PATTY
A628499,A628499*SALT
A629560,A629560*MEXICO
A628024,A628024*TOBI
A698216,STRAY 2
A698215,STRAY 1
A515233,CINNAMON2
A698158,STRAY 3
A698157,STRAY 2
A649823,A649823 *KANDY
A633113,A633113*LIGHTNING
A647034,BABY 3
A647032,BABY 1
A740005,KITTEN 2
A646454,A646454
A646219,A646219
A650268,A650268
A657092,KAYLAH 6
A742376,STEARNS 5
A742372,STEARNS 4
A739544,KITTEN 2
A707028,PUPPY3
A645706,A645706
A630031,A630031*CLOVER
A740493,KITTEN 1
A652967,2
A652976,5
A652964,5
A652966,1
A631660,A631660*MELISSA
A717286,KITTEN 2
A717288,KITTEN 4
A740666,KITTEN 3
A612993,KITTEN 2
A612992,KITTEN 1
A739266,KITTEN 2
A631400,A631400*TRACY
A629762,A629762*CANNOLI
A633213,A633213
A637703,A637703 *SPARKY
A636348,636348*CINDY LOU WHO
A634112,*THING 1
A634150,*THING 32
A634149,*THING 31
A634108,WHT/BRN TAB #2
A634124,*THING 10
A634136,*THING 18
A634142,*THING 25
A634147,*THING 29
A637913,A637913*QT
A684538,CHICKEN10
A684539,CHICKEN11
A684545,CHICKEN17
A647280,A647280
A738433,KITTEN 5
A627871,A627871
A738776,KITTEN 3
A738774,KITTEN 1
A738777,KITTEN 4
A628231,A628231*AMBER
A677436,ATLANTIC CAT 1
A665843,*KKATLANTIC7
A665840,KKATLANTIC4
A628414,628414
A699700,PUP 4
A699704,PUP 8
A738924,KITTEN 4
A738922,KITTEN 2
A699214,STRAY2
A712297,PUPPY 7
A740842,KITTEN 2
A717689,KITTEN 2
A741720,KITTEN 3
A701849,*LEWIS KITTEN 1
A644292,DOG #3 CASPER
A644291,DOG #5
A695247,*ORI KITTEN 1
