crossing,count
"7700 E SPRING ST, LONG BEACH, CA 90815",325
"7700 BLK E SPRING ST, LONG BEACH, CA 90815",109
"6400 BLK ATLANTIC AVE, LONG BEACH, CA 90805",68
"7500 BLK E SPRING ST, LONG BEACH, CA 90815",66
"7550 E SPRING ST, LONG BEACH, CA 90815",58
"5400 BLK N PARAMOUNT BLVD, LONG BEACH, CA 90805",54
"4700 BLK E PACIFIC COAST HWY, LONG BEACH, CA 90804",47
"5800 BLK JOHN AVE, LONG BEACH, CA 90805",42
"4600 BLK LONG BEACH BLVD, LONG BEACH, CA 90805",40
"1900 BLK CEDAR AVE, LONG BEACH, CA 90806",37
"3300 BLK SANTA FE AVE, LONG BEACH, CA 90810",37
"1000 BLK E 7TH ST, LONG BEACH, CA 90813",36
"E SPRING ST / N STUDEBAKER RD, LONG BEACH, CA 90815",31
"5500 BLK LONG BEACH BLVD, LONG BEACH, CA 90805",29
"18600 BLOOMFIELD AVE, CERRITOS, CA 90703",28
"6200 BLK DE FOREST AVE, LONG BEACH, CA 90805",27
"2100 BLK W WILLARD ST, LONG BEACH, CA 90810",26
"100 BLK E MARKET ST, LONG BEACH, CA 90805",26
"2500 BLK WEBSTER AVE, LONG BEACH, CA 90810",26
"6000 BLK LINDEN AVE, LONG BEACH, CA 90805",25
"800 BLK E 15TH ST, LONG BEACH, CA 90813",24
"1000 BLK E 5TH ST, LONG BEACH, CA 90802",24
"300 BLK E NEECE ST, LONG BEACH, CA 90805",24
"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",24
"1800 BLK LOCUST AVE, LONG BEACH, CA 90806",24
7000 BLK E SPRING STREET LONG BEACH CA 90815,24
"500 BLK E PLEASANT ST, LONG BEACH, CA 90805",24
"3000 BLK N SPRINGDALE DR, LONG BEACH, CA 90810",24
"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",23
"10700 SOUTH ST, CERRITOS, CA 90703",22
"1000 BLK E 4TH ST, LONG BEACH, CA 90802",22
"500 BLK E ARTESIA BLVD, LONG BEACH, CA 90805",22
"5800 BLK CHERRY AVE, LONG BEACH, CA 90805",21
7700 E SPRING ST,21
"5500 BLK ATLANTIC AVE, LONG BEACH, CA 90805",21
"1600 BLK ATLANTIC AVE, LONG BEACH, CA 90813",21
"2400 BLK N STUDEBAKER RD, LONG BEACH, CA 90815",20
"800 BLK DAWSON AVE, LONG BEACH, CA 90804",20
"2100 E OCEAN BLVD, LONG BEACH, CA 90803",20
"1300 BLK E WESLEY DR, LONG BEACH, CA 90806",20
"1700 BLK LONG BEACH BLVD, LONG BEACH, CA 90813",20
"1300 BLK LEWIS AVE, LONG BEACH, CA 90813",20
"2400 BLK LINDEN AVE, LONG BEACH, CA 90806",19
"2000 BLK LIME AVE, LONG BEACH, CA 90806",19
"400 BLK E ELLIS ST, LONG BEACH, CA 90805",19
"2100 BLK E OCEAN BLVD, LONG BEACH, CA 90803",19
"00 BLOCK W PLEASANT ST, LONG BEACH CA",19
"1200 BLK OLIVE AVE, LONG BEACH, CA 90813",19
"1400 BLK CHESTNUT AVE, LONG BEACH, CA 90813",19
"1000 BLK LIME AVE, LONG BEACH, CA 90813",19
"19700 BLOOMFIELD AVE, CERRITOS, CA 90703",18
"3500 BLK SANTA FE AVE, LONG BEACH, CA 90810",18
"2000 BLK OLIVE AVE, LONG BEACH, CA 90806",18
"5000 BLK E OCEAN BLVD, LONG BEACH, CA 90803",17
1900 BLK RAYMOND AVE SIGNAL HILL CA 90755,17
2000 BLK CHERRY AVE SIGNAL HILL CA 90755,17
"2100 BLK PASADENA AVE, LONG BEACH, CA 90806",17
"6500 BLK ATLANTIC AVE, LONG BEACH, CA 90805",17
"6600 BLK LONG BEACH BLVD, LONG BEACH, CA 90805",17
"800 OCEAN AVE, SEAL BEACH, CA 90740",17
"7700 BLOCK E SPRING ST, LONG BEACH CA",17
"2100 BLK E ARTESIA BLVD, LONG BEACH, CA 90805",17
"900 BLK MAINE AVE, LONG BEACH, CA 90813",16
"400 OBISPO AVE, LONG BEACH, CA 90814",16
"1400 BLK ELM AVE, LONG BEACH, CA 90813",16
"2000 BLK SAN GABRIEL AVE, LONG BEACH, CA 90810",16
6400 BLK ATLANTIC AVE LONG BEACH CA 90805,16
"2200 BLK CLARK AVE, LONG BEACH, CA 90815",15
"500 BLK ORANGE AVE, LONG BEACH, CA 90802",15
"6500 BLK LEMON AVE, LONG BEACH, CA 90805",15
"5800 BLK FALCON AVE, LONG BEACH, CA 90805",15
"7700 E SPRING ST, LONG BEACH CA",15
"1000 BLK MYRTLE AVE, LONG BEACH, CA 90813",15
"1000 BLK DAWSON AVE, LONG BEACH, CA 90804",15
"2500 CHERRY AVE, SIGNAL HILL, CA 90755",15
"4600 LONG BEACH BLVD, LONG BEACH, CA 90805",15
"1000 BLK WALNUT AVE, LONG BEACH, CA 90813",15
"200 BLK E LOUISE ST, LONG BEACH, CA 90805",15
"6300 BLK MYRTLE AVE, LONG BEACH, CA 90805",15
"900 BLK PINE AVE, LONG BEACH, CA 90813",15
"2000 BLK CERRITOS AVE, LONG BEACH, CA 90806",14
"600 BLK E ARTESIA BLVD, LONG BEACH, CA 90805",14
"2800 BLK N STUDEBAKER RD, LONG BEACH, CA 90815",14
"2000 BLK ATLANTIC AVE, LONG BEACH, CA 90806",14
"5400 ATLANTIC AVE, LONG BEACH, CA 90805",14
"2200 BLK ELM AVE, LONG BEACH, CA 90806",14
"6800 BLK BEECHLEY AVE, LONG BEACH, CA 90805",14
"200 BLK TEMPLE AVE, LONG BEACH, CA 90803",14
"2200 BLK MYRTLE AVE, LONG BEACH, CA 90806",14
"7000 BLK E SPRING ST, LONG BEACH, CA 90815",14
"700 BLK ELM AVE, LONG BEACH, CA 90813",14
"400 BLK E 59TH ST, LONG BEACH, CA 90805",14
"300 BLK CEDAR AVE, LONG BEACH, CA 90802",14
"400 BLK E HULLETT ST, LONG BEACH, CA 90805",14
"5000 BLK N PARAMOUNT BLVD, LONG BEACH, CA 90805",14
"800 BLK OCEAN AVE, SEAL BEACH, CA 90740",14
"6000 BLK ATLANTIC AVE, LONG BEACH, CA 90805",14
"2300 BLK CHESTNUT AVE, LONG BEACH, CA 90806",13
"1900 BLK CHESTNUT AVE, LONG BEACH, CA 90806",13
"2400 N STUDEBAKER RD, LONG BEACH, CA 90815",13
"3400 BLK GOLDEN AVE, LONG BEACH, CA 90806",13
"3000 BLK SNOWDEN AVE, LONG BEACH, CA 90808",13
"3700 BLK E SOUTH ST, LONG BEACH, CA 90805",13
6200 BLK DE FOREST AVE LONG BEACH CA 90805,13
"N PARAMOUNT BLVD / E THOMPSON ST, LONG BEACH, CA 90805",13
"2000 BLK W SPRING ST, LONG BEACH, CA 90810",13
"1300 BLK LINDEN AVE, LONG BEACH, CA 90813",13
"100 W 21ST ST, LONG BEACH, CA 90806",13
"1400 ELM AVE, LONG BEACH, CA 90813",13
"500 BLK NEBRASKA AVE, LONG BEACH, CA 90802",13
"400 BLK E 21ST ST, LONG BEACH, CA 90806",13
"6900 BLK LONG BEACH BLVD, LONG BEACH, CA 90805",13
"1700 BLK CHESTNUT AVE, LONG BEACH, CA 90813",13
"3700 BLK PACIFIC AVE, LONG BEACH, CA 90807",13
"13600 BLK ROSE ST, CERRITOS, CA 90703",13
"1000 BLK ORANGE AVE, LONG BEACH, CA 90813",13
"400 BLK OBISPO AVE, LONG BEACH, CA 90814",13
"100 BLK E 55TH ST, LONG BEACH, CA 90805",13
"1000 BLK PACIFIC AVE, LONG BEACH, CA 90813",13
"E 10TH ST / REDONDO AVE, LONG BEACH, CA 90804",13
"1300 BLK JUNIPERO AVE, LONG BEACH, CA 90804",13
"3300 BLK ADRIATIC AVE, LONG BEACH, CA 90810",12
"900 BLK GLADYS AVE, LONG BEACH, CA 90804",12
"6800 BLK WHITE AVE, LONG BEACH, CA 90805",12
2500 BLK SANTA FE AVE LONG BEACH CA 90810,12
"1700 BLK E JACKSON ST, LONG BEACH, CA 90805",12
5900 BLK ORANGE AVE LONG BEACH CA 90805,12
"2500 BLK SEABRIGHT AVE, LONG BEACH, CA 90810",12
"1800 SAN ANSELINE AVE, LONG BEACH, CA 90815",12
7200 BLK CARSON BLVD LONG BEACH CA 90808,12
