geopoint,count
"33.8096122, -118.0826161",570
"33.7700504, -118.1937395",138
"33.8097185, -118.0929813",128
"33.8708354, -118.1846106",112
"33.7898537, -118.1458794",100
"33.8545294, -118.1564047",88
"33.84221280000001, -118.1911276",85
"33.8095992, -118.086983",74
"33.810379, -118.0992327",62
"33.763015, -118.1681549",58
"33.7946311, -118.1750875",54
"33.8659722, -118.1926371",52
"33.8601575, -118.1724828",48
"33.8171037, -118.2154046",48
"33.7898857, -118.1910812",48
"33.771717, -118.1546023",47
"33.7982504, -118.0981399",46
"33.863826, -118.1857255",45
"33.7918539, -118.1948868",45
"33.8631745, -118.0614887",44
"33.7789839, -118.183959",44
"33.8743224, -118.1893411",42
"33.7751351, -118.1799603",41
"33.806783, -118.0972337",40
"33.7935031, -118.1828539",39
"33.8121258, -118.2199732",39
"33.8288416, -118.0896661",38
"33.8560388, -118.1969409",38
"33.8602137, -118.1685934",37
"33.8199565, -118.2152499",37
"33.8583939, -118.1000236",37
"33.7729834, -118.1796718",36
"33.8475831, -118.0672484",33
"33.7839902, -118.1878167",33
"33.7395808, -118.1071639",33
"33.8732943, -118.1967604",33
"33.8119364, -118.2178026",32
"33.7841102, -118.1961983",32
"33.8540693, -118.1935615",31
"33.8601171, -118.1772884",31
"33.8102508, -118.0994223",31
"33.8520894, -118.0622298",31
"33.7869595, -118.184432",30
"33.871828, -118.1967512",30
"33.7881707, -118.1888181",30
"33.7932669, -118.2204244",30
"33.7714936, -118.1796768",29
"33.8724552, -118.0595907",29
"33.7771459, -118.1796272",29
"33.7553752, -118.1394539",28
"33.8461803, -118.1870265",28
"33.7820307, -118.1224028",28
"33.7898836, -118.1920127",28
"33.81042559999999, -118.1078694",27
"33.800918, -118.1858974",27
"33.8103642, -118.1061645",27
"33.8027141, -118.2196039",27
"33.7844161, -118.1730895",27
"33.7677623, -118.1825071",27
"33.8546565, -118.1845587",27
"33.8745978, -118.1685667",26
"33.7826316, -118.1798509",26
"33.8565553, -118.1882695",26
"33.7880545, -118.1981009",25
"33.8725897, -118.1854499",25
"33.8025831, -118.1676989",25
"33.8728152, -118.1730083",25
"33.7791395, -118.1718077",25
"33.8562405, -118.1848922",25
"33.8098294, -118.0844223",25
"33.797143, -118.1828601",25
"33.8606421, -118.1882829",25
"33.8467318, -118.1939192",25
"33.845041, -118.1652262",25
"33.83634170000001, -118.1862281",24
"33.7972593, -118.181566",24
"33.7855216, -118.182685",24
"33.77271959999999, -118.1736369",24
"33.793499, -118.18394",24
"33.7845907, -118.1750967",24
"33.7672612, -118.1786864",24
"33.8746909, -118.2026096",24
"33.7789754, -118.1795513",24
