longitude,count
-118.0826161,570
-118.1937395,140
-118.0929813,128
-118.1846106,112
-118.1458794,100
-118.1564047,88
-118.1967604,86
-118.1911276,85
-118.086983,74
-118.0992327,62
-118.1681549,58
-118.1750875,54
-118.1926371,52
-118.2154046,48
-118.1724828,48
-118.1948868,48
-118.1910812,48
-118.1546023,47
-118.0981399,46
-118.1857255,45
-118.183959,44
-118.0614887,44
-118.1893411,42
-118.1799603,41
-118.2003705,41
-118.0972337,40
-118.1828539,39
-118.2199732,39
-118.1847872,38
-118.1969409,38
-118.0896661,38
-118.1685934,37
-118.1000236,37
-118.2152499,37
-118.1796718,36
-118.1870265,33
-118.0672484,33
-118.1878167,33
-118.1071639,33
-118.1961983,32
-118.2178026,32
-118.0622298,31
-118.1935615,31
-118.1772884,31
-118.0994223,31
-118.184432,30
-118.2204244,30
-118.1888181,30
-118.1967512,30
-118.1796768,29
-118.0595907,29
-118.1796272,29
-118.1845587,28
-118.182685,28
-118.1224028,28
-118.1920127,28
-118.1394539,28
-118.1846958,28
-118.1730895,27
-118.1061645,27
-118.1718077,27
-118.1766294,27
-118.1825071,27
-118.2196039,27
-118.1078694,27
-118.1858974,27
-118.1981009,27
-118.1882695,26
-118.1685667,26
-118.1818623,26
-118.1798509,26
-118.1652262,25
-118.1848922,25
-118.18394,25
-118.1730083,25
-118.1676989,25
-118.0986885,25
-118.1939192,25
-118.1828601,25
-118.1854499,25
-118.1707108,25
-118.0844223,25
-118.1882829,25
-118.1750967,24
-118.1862281,24
-118.1786864,24
-118.2026096,24
-118.1795513,24
-118.181566,24
-118.1736369,24
-118.1763413,23
-118.1981979,23
-118.1917564,23
-118.1876435,23
-118.1128929,23
-118.2086871,23
-118.1576846,23
-118.17907,23
-118.1676429,23
-118.185884,23
-118.1859479,23
-118.1589781,22
-118.1952897,22
-118.202081,22
-118.2236742,22
-118.2004784,22
-118.1633084,22
-118.1654975,22
-118.0677496,22
-118.1991406,22
-118.2123431,22
-118.1828537,22
-118.2040719,22
-118.1947725,22
-118.1827764,22
-118.1762891,21
-118.1806633,21
-118.1884287,21
-118.1988625,21
-118.1828659,21
-118.1730704,21
-118.2004162,21
-118.1882378,21
-118.2122092,21
-118.1773224,21
-118.1642211,21
-118.1998769,21
-118.1892521,21
-118.1171576,20
-118.1845932,20
-118.1676714,20
-118.1960749,20
-118.1598395,20
-118.16758,20
-118.1484742,20
-118.2121997,20
-118.1850249,20
-118.1751593,19
-118.1921449,19
-118.0712611,19
-118.1921526,19
-118.0819265,19
-118.1820586,19
-118.1654888,19
-118.1849237,19
-118.179874,19
-118.1912538,19
-118.1936055,19
-118.1817845,19
-118.0757121,19
-118.1871975,19
-118.200413,19
-118.1884085,19
-118.176518,19
-118.1806444,19
-118.188059,19
-118.0988918,19
-118.1672929,19
-118.1883062,19
-118.1564821,19
-118.1718072,18
-118.1827307,18
-118.1971031,18
-118.1111403,18
-118.1943384,18
-118.1838732,18
-118.1876879,18
-118.161129,18
-118.1760582,18
-118.176933,18
-118.1578416,18
-118.1687288,18
-118.1784109,18
-118.216339,18
