outcome_subtype,count
SPCALA,4074
WEB,3326
WALKIN,3120
ILL SEVERE,2142
OTHER RESC,1525
INJ SEVERE,1480
LITTLELION,1195
UNDRAGE/WT,1120
STRAYCATAL,1048
LITTLEPAWS,1023
LBAH,924
AT VET,715
CATPAWS,706
FNDANIFOUN,583
PFE/PAWSHP,566
FRE RID HM,543
IN KENNEL,313
MICROCHIP,280
ENROUTE,271
LIVELOVE,232
BEH SEVERE,228
CAPAWS,224
ILL MODERA,224
IBR,215
SBACC,207
RABBITRES,151
FRIENDLY,145
SC REPTILE,136
KITTYBUNGA,126
WARDSMTN,121
COMMCAT,113
SPEC EVT,109
INJ MODERA,104
IN CARE,101
BEH MODERA,95
PHONE,92
SPARKYGANG,91
OTHER SHEL,88
OTHER WILD,77
REMOTE EVT,71
FROST FACE,66
ACS DISPO,65
IN FOSTER,64
BLACKSMITH,60
NOTICE,56
APAWSITIVE,54
AHM4EVER,53
OTHER SANC,48
SOCIAL MED,47
FIXLB,41
REFERRAL,40
FOLBA,38
SEAACA,36
ILL MILD,35
K9KISMET,33
GOOD SAM,32
PRCLSSPETS,31
PROMOTION,30
REPEAT ADT,27
ZAZZYCAT,26
ZOEYSPLACE,26
CATCOVE,26
OUTRCHPAWS,26
WETLANDS,25
BUNBUCH,25
IRVINE ACC,24
LBSNNRES,24
FROM VET,22
SWTPEARES,22
LA COUNTY,22
MILTONSMUT,20
KITTYKATCH,19
TAG ID,18
PRICELESSP,17
BICHONFUR,17
HOOLA DOG,17
WSTSIDGSRS,17
PAWSHOPPE,17
OUTTACAGE,16
BESTFRIEND,16
MUTTSINEED,15
WAGGINGDOG,15
KARMARES,14
AGGRESSIVE,14
OTHER REPT,14
ON SCENE,13
ORANGE CO,13
DOGBONEZ,12
LABELLE,12
KRISKELLY,12
WSTCSTANIM,12
BIRDRESC,11
MMR,11
GISSELLES,11
HUGHEARTS,11
INJ MILD,10
WOOF PROJE,10
PUGNATRES,10
TIME/SPACE,9
SAFE,9
HOUSEOBC,9
BEH MILD,9
CAMPCOCKR,9
TURTL RES,9
DOGWOBDR,9
GREENDOG,8
FRDMFRNCH,8
CATHSEKING,8
ISTANDWMPK,8
ASHTREE,7
TAG LIC,7
AGED,7
MOBILE APP,6
LITTLEREDD,6
GRTDANERES,6
ADVOCATE,6
FOUND ANIM,6
LABFRIENDS,6
PERFECTPET,6
RUFFLERES,6
BEAGBUDS,5
BEAGLE FP,5
ARK9CHARIT,5
BICHONORG,5
PUGNATION,5
WAGGYTAIL,5
NOSTRLB,4
EARLYSREP,4
BOSTERRRES,4
HELPINGPER,4
AWISH4ANI,4
PASSIONPAW,4
BOXRRESLA,4
LITTLEONES,4
COAST GERM,4
UNDERDOGHE,4
LA CITY,4
DOBNPAWS,4
SECONDCHAN,4
PETSUP+,3
PG CAT RES,3
KENS2COUCH,3
BICHONBUD,3
CALABS&MOR,3
LOVEJOY,3
SOCADOXIE,3
ICARE,3
APOLLOSUPP,3
GLDRET RES,3
FROSTFUND,3
SCPITBULL,3
TRANSPORT,3
PEPPERFDTN,3
ADOPTCHOW,3
VARGASRANC,3
CHIOFVAL,3
BARKSOLOVE,3
OTHERVET,3
GLDRTVRRES,3
ITSTHEPITS,3
PWOBORD,3
ACEHRTRES,3
TOBIESSMAL,2
PRESENTMMT,2
K9AVENGERS,2
SOCALRTVR,2
VET DISPO,2
LIFELINRES,2
SHAMROCK,2
ANIPAD,2
YORKIERESU,2
BULLDOGRES,2
ALLJOY4PAW,2
DOXRESO,2
HOMEFURFRI,2
FELV/FIV,2
ALLCREATUR,2
CAUSE4PAWS,2
ROADDOGS,2
THULANI,2
AMORE4DOG,2
ZEPANDFRND,2
BOSTONBUD,2
CABULLY,2
ALLYSANIMA,2
HEALINGHAR,2
BELIKEJOSH,2
SPACE,2
OCPOUND,2
K9CONNECT,1
IMPS,1
ONEDANE,1
DALMARES,1
GURS&PURS,1
BULTERRSC,1
LEGOFLOVE,1
WHTGERSHP,1
TRNDOGRES,1
HANKSLF,1
BARKEELHOL,1
2NDCHANCK9,1
WMSTRANHSP,1
JACKSRANCH,1
ESKIERU,1
2NDCHANC@L,1
GR8PYRANEE,1
NATBRUSGRF,1
FILA911,1
BLACKCATHO,1
BELLA&SUN,1
LOVE@1MUT,1
MALSHOUSE,1
FUZZYPET,1
PETALS4PAW,1
REDBKTRESU,1
BULLESBUD,1
AMERBRITT,1
PUPNPALS,1
PEIPEOPLE,1
FETCHRES,1
QUEENSBEST,1
HIGHDESDOB,1
RESCUE22,1
PETPRIDE,1
SBAYCATS,1
NEWFEERES,1
WILSONHAUS,1
FELINEGOOD,1
BIGDOGHAV,1
CCSCOMPASS,1
IN BRD RES,1
PUGSNPALS,1
ADOPTMERES,1
GROWL,1
AUSSHPRES,1
4PAWSKIDDO,1
AUSSOCAL,1
ST B,1
BICHONBRIG,1
VANSHARPEI,1
