primary_color,count
BLACK,8548
GRAY,4523
WHITE,4090
BROWN,3958
BRN TABBY,2538
TAN,1613
GRAY TABBY,1378
ORG TABBY,996
CALICO,600
ORANGE,589
TORTIE,520
TRICOLOR,359
BR BRINDLE,334
PINK,327
CREAM,287
BLUE,268
RED,262
GREEN,251
SEAL PT,245
UNKNOWN,157
YELLOW,154
FAWN,133
TORTIE DIL,130
LYNX PT,127
GOLD,117
CALICO DIL,117
CALICO TAB,103
CRM TABBY,83
CHOCOLATE,82
BLONDE,75
BLK TABBY,70
FLAME PT,63
BL BRINDLE,61
SNOWSHOE,53
CHOC PT,47
SILVER,43
BLUE PT,32
BLK SMOKE,27
TORBI,26
LILAC PT,22
SEAL,21
APRICOT,20
SLVR TABBY,19
BLUE MERLE,19
RED MERLE,18
BUFF,17
SABLE,15
BLUE BRIND,15
GRAY TIGER,14
LC LYNX PT,13
S-T PT,13
LI LYNX PT,13
BRN MERLE,12
WHEAT,10
TORTIE PT,10
BRN TIGER,8
CREAM PT,6
TORTIE MUT,6
BLUE TICK,5
PEACH,5
CALICO PT,5
L-C PT,4
LIVER,4
DAPPLE,4
BL LYNX PT,2
BLK TIGER,2
BLUE FAWN,2
ORG TIGER,2
BC LYNX PT,2
RED PT,2
SL LYNX PT,2
B-C PT,1
CT LYNX PT,1
BLUE CREAM,1
RD LYNX PT,1
LIVER TICK,1
Y BRINDLE,1
BLUE TABBY,1
CH LYNX PT,1
C-T PT,1
